REGION_CODE,CERT_COST,RENT_2_shared,RENT_1_single,Y1_MIN_SAL,Y1_MAX_SAL,Y2_MIN_SAL,Y2_MAX_SAL,SEX_RATIO_ M,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,RACE_NON_WHITE,RACE_Two_or_more,Population_size,ED_ATN_Less_9G,ED_ATN_HS_p,ED_ATN_Bachelor_p,TEMP_MAX_JAN,TEMP_MAX_FEB,TEMP_MAX_MAR,TEMP_MAX_APR,TEMP_MAX_MAY,TEMP_MAX_JUN,TEMP_MAX_JUL,TEMP_MAX_AUG,TEMP_MAX_SEP,TEMP_MAX_OCT,TEMP_MAX_NOV,TEMP_MAX_DEC,TEMP_MAX_ANN,TEMP_MIN_JAN,TEMP_MIN_FEB,TEMP_MIN_MAR,TEMP_MIN_APR,TEMP_MIN_MAY,TEMP_MIN_JUN,TEMP_MIN_JUL,TEMP_MIN_AUG,TEMP_MIN_SEP,TEMP_MIN_OCT,TEMP_MIN_NOV,TEMP_MIN_DEC,TEMP_MIN_ANN,SUN_PERCT_JAN,SUN_PERCT_FEB,SUN_PERCT_MAR,SUN_PERCT_APR,SUN_PERCT_MAY,SUN_PERCT_JUN,SUN_PERCT_JUL,SUN_PERCT_AUG,SUN_PERCT_SEP,SUN_PERCT_OCT,SUN_PERCT_NOV,SUN_PERCT_DEC,SUN_PERCT_ANN,DEM_perc_16,DEM_perc_20,GOP_perc_16,GOP_perc_20,delta_turnout,ECON_GINI,TOURISTS,WALKSCORE,BIKESCORE,TRANISTCORE
401,1750,400,500,40873,54539,40873,54539,91.4,6,7,6.9,6.4,6.6,6.3,0.3557,0.0162,small,3.2,91.7,35.6,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7,47,55,58,64,63,64,61,61,59,63,55,49,58,0.633,0.643,0.356,0.349,1.119,0.4884,0.0001,36.5,33.5,25
444,43,325,450,32000,36000,32000,36000,94.6,6.2,6,5.3,6.2,5.9,6.4,0.0524,0.0163,very small,3.7,91.7,27.7,45.4,49.1,57.9,68.2,75.4,83.2,86.5,85.2,78.3,68.5,58.5,47.8,67,24.8,27.2,33.8,42.6,50.9,60.1,64,63,55.7,44,35.1,27.3,44.1,53,58,60,62,63,65,62,64,60,59,55,52,59,0.168,0.179,0.804,0.809,1.012,0.4712,0.00001,38,32,0
400,2300,720,1200,44000,47000,44000,47000,93.5,6.4,7.3,7,7.1,6.8,7.2,0.4778,0.0276,big city,4,92,43,52.3,56.6,64.6,72.5,79.9,86.4,89.1,88.1,82.2,72.7,63.6,54,71.8,34.3,37.7,44.1,51.5,60.3,68.2,71.3,70.7,64.8,54,44.5,36.5,53.2,50,56,59,66,65,66,62,62,60,67,61,53,60,0.771,0.788,0.201,0.201,1.31,0.4683,0.0185,48,45,47
402,7500,800,1200,50641,53724,50641,53724,92.9,6.1,7.1,7.3,6.9,6,6.1,0.4075,0.0322,city,2.7,94.8,46.1,41.4,44.9,53.6,64.6,73.9,83,87.2,85.1,77.9,66.8,56.4,45.3,65,24.4,26.6,33.5,42.7,52,61.9,66.8,65.2,57.6,45.4,36.5,28.1,45.1,50,58,55,57,55,60,63,61,57,56,50,47,55,0.565,0.623,0.391,0.352,1.263,0.4615,0.0045,88,88,78
403,6195,650,1500,47000,60000,47000,65000,97.8,5.6,7.9,8.3,7.8,6.9,6.8,0.528,0.0592,city,5.5,93.8,59.6,56.9,60.2,61.8,63.1,64.3,66.4,66.5,68.1,70.2,69.2,63.1,57.1,63.9,45.7,47.5,48.5,49.2,51,52.8,54.1,55.1,55.1,53.7,50.1,46.1,50.8,58,66,71,77,75,69,70,69,73,71,55,55,67,0.739,0.748,0.204,0.231,1.355,0.4859,0.0003,60,60,46.66666667
404,3750,800,1800,40000,55000,42000,60000,93.2,7.8,7.1,6.9,6.3,5.7,6.1,0.2127,0.0377,city,4.1,92.1,48.3,35.8,38.7,45.4,55.6,66,75.9,81.4,79.6,72.4,61.4,51.5,41.2,58.7,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38,28.2,44.1,56,56,56,59,60,64,68,66,64,60,48,49,58,0.644,0.673,0.305,0.306,1.143,0.4714,0.0935,61.66666667,52.66666667,57.5
438,888,800,900,40000,42000,40000,42000,92.7,6.1,6.8,6.5,6.2,6.2,6.9,0.3209,0.0278,small,4.5,90.5,33.5,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7,69.2,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68,60.6,48.8,39.6,32,49.1,54,59,62,64,60,61,61,61,59,61,59,56,59,0.585,0.612,0.385,0.372,1.205,0.469,0.043,26,32.66666667,29
405,9500,820,1600,40000,56665,40000,56665,95.8,6.4,7.4,7.1,6.9,6.5,6.5,0.3426,0.0292,big city,5.2,93.6,46.7,31,35.3,46.6,59,70,79.7,84.1,81.9,74.8,62.3,48.2,34.8,59,16.5,20.1,29.2,38.8,48.3,58.1,63.9,62.9,54.3,42.8,32.4,20.7,40.8,41,42,53,53,58,66,68,61,61,56,35,35,52,0.664,0.656,0.296,0.329,1.157,0.4808,0.01,55.5,59,65
446,90,550,700,36000,45000,36000,45000,94.8,6.4,6.8,6.5,6.2,5.7,6,0.2263,0.0325,small,2.5,93.3,36.7,34.4,37.5,46.6,59.1,69.5,78.6,82.6,80.8,73.9,62.3,50.8,38.3,59.5,21.7,23.6,30.2,40.4,50.1,59.8,64.3,63.1,56,45.4,36.9,26.4,43.3,31,40,44,52,57,64,66,61,59,48,30,22,47,0.552,0.58,0.408,0.406,1.108,0.4673,0.004333333,52.66666667,49,44.5
407,5250,500,1000,46000,50000,48000,52000,94.7,6.7,6.3,6.3,6.2,6,6.4,0.2769,0.0372,small,4.4,93.1,46.2,38.3,41.6,49.7,61.2,70.8,79.3,84.1,82.6,75.2,63.8,53.8,43,62,26.9,28.9,35.2,44.8,54,63.6,68.8,67.8,60.8,50,41.6,32,48,53,54,54,59,57,56,60,64,59,59,48,44,55,0.57,0.613,0.39,0.373,1.161,0.4974,0.038666667,64.66666667,57,49.33333333
406,3050,900,1000,53000,57000,53000,60000,96.9,6.5,7.4,7.4,7.3,6.9,6.8,0.3267,0.0295,big city,6.6,90.4,38.6,56.8,60.8,68.7,76.7,84.2,91.6,96,96.4,88.7,78.5,67.1,57.5,76.9,37.3,41.1,48.5,56.2,65.4,72.8,76.7,76.8,69,58.2,47.6,38.5,57.4,54,59,61,57,58,69,74,69,62,62,58,55,61,0.479,0.537,0.477,0.446,1.304,0.4639,0.004666666,45.33333333,44.66666667,30.5
426,4500,700,1000,36000,45000,36000,45000,93.7,6.2,7.2,7.1,6.6,5.9,6.2,0.3449,0.0294,big city,3.1,94.2,45.8,40.3,43.8,52.7,63.9,73.8,82.7,87.1,85.3,78,66.6,56,44.8,64.6,25.6,27.7,34.4,44.1,54,63.8,69.2,67.9,60.3,48.4,39.2,30.1,47.2,51,54,54,56,53,60,62,63,58,58,49,45,55,0.623,0.678,0.327,0.307,1.141,0.4873,0.0005,75,53,50
409,3000,800,1600,32000,45000,32000,45000,100,6.6,7.8,7.6,6.9,6.4,6.1,0.1927,0.0507,small,2.7,93.3,35,37.7,45.4,56.5,65.3,76.1,87.6,93.2,89.7,80.1,66.2,50.4,38.5,65.6,17,23.7,31.4,38.1,47,56.3,63.2,61.3,52,39.9,27.6,18.5,39.7,59,64,63,69,72,80,78,78,79,71,60,57,69,0.518,0.573,0.404,0.399,1.502,0.44,0.014666667,43.66666667,56,33
408,5500,500,1200,38000,51000,42000,51000,94.9,6,7.3,6.4,6.3,5.6,6.6,0.3103,0.0259,city,2.8,92.9,36.1,30.1,33.3,44.1,57.8,68.8,78.4,82.4,80.1,72.7,59.9,46.7,34.3,57.4,16.8,18.5,26,37,46.7,56.7,60.6,59.4,51.2,40.7,32.4,22.3,39.1,40,47,49,53,60,64,69,66,58,47,29,29,50,0.668,0.684,0.295,0.303,1.154,0.4704,0.0016,53,55,39
443,93,375,700,36000,40000,36000,40000,90.9,6.5,6.7,6.6,5.3,6.4,5.8,0.3976,0.0188,very small,3.4,89.9,28.3,56,60.3,68.2,76.3,83.8,90,92.7,90.7,85.2,76.1,67.3,58.2,75.4,33.7,36.8,43,50.4,59.5,68.2,71.6,71,64.2,52.1,42.3,35.3,52.4,55,60,65,69,67,68,67,66,65,66,64,57,64,0.548,0.567,0.415,0.421,1.235,0.4789,0.008,13.33333333,36,23
411,0,700,1150,36000,48000,36000,48000,92.7,5.7,6.9,7.3,7.1,6.4,5.9,0.4265,0.0195,small,3.6,91.2,38.2,62.1,65.4,71.8,78.2,85.2,89.5,91.2,91.2,87.5,80,71.8,64.4,78.2,44.7,48,53.5,60,68.1,73.5,75.3,75.3,72,62.6,53.5,46.9,61.2,48,52,56,62,59,67,61,59,61,70,57,54,58,0.509,0.539,0.449,0.443,1.101,0.4942,0.007166667,59,66,44
433,140,500,800,37000,39000,37000,39000,97,6,7,6.4,6.1,6.7,6.1,0.356,0.0952,very small,3.8,89.4,21.7,49.7,54.6,63.4,72.3,80.2,88.1,93.9,93.4,84.7,73.4,61.5,50.6,72.2,28.8,32.8,41,49.7,59.6,67.8,72.2,71.3,63.2,51.6,40,30.6,50.8,60,61,65,67,66,73,79,76,68,67,58,59,66,0.342,0.364,0.603,0.612,1.116,0.4919,0.0115,35,47,23
432,2608,900,1725,37218,49100,37218,49100,97.7,4.5,5.8,6.3,7.9,6.3,6.2,0.6638,0.2113,very small,4.7,95.2,24.2,80.1,80.2,81.2,82.7,84.6,87,87.9,88.7,88.6,86.7,83.9,81.2,84.4,66.3,66.1,67.7,69.4,70.9,73.4,74.5,75.1,74.4,73.4,71.4,68.3,70.9,59,62,68,63,66,67,71,73,75,67,60,56,65,0.615,0.625,0.316,0.357,1.411,0.4333,0.0003,23,23,36
413,2750,850,1200,54000,56000,54000,56000,98,6.4,7.4,7.5,7.4,6.9,6.8,0.3573,0.0278,big city,8.1,89.1,35.2,66.9,70.4,75.9,81.7,86.6,90.9,93.1,94.4,90.1,84.4,76,68.4,81.6,47.2,50.5,56.3,63,70,73.9,74.8,75,72,64.8,56.2,48.6,62.7,43,50,52,54,55,72,79,74,68,66,57,45,59,0.542,0.56,0.418,0.427,1.294,0.4837,0.073,48,51,37
452,1250,450,740,40000,40000,40000,40000,100.8,6.3,7,7.1,6.7,6.8,6.2,0.1325,0.0407,very small,2.9,92.3,30.6,32.6,37.5,48.8,58.3,67.8,77.8,87.8,87.1,75.8,61,44.5,32.8,59.3,16,19.2,27.1,32.9,39.7,46.5,52,50.7,42.1,33,24.1,16.1,33.3,38,55,63,64,68,74,82,80,78,68,43,36,62,0.194,0.239,0.702,0.734,1.437,0.4342,0.022166667,15,16,0
412,6105,550,850,40000,47800,40000,47800,95.6,6.3,7.2,7.2,6.9,6.2,6.4,0.2395,0.0263,city,3.1,90.7,38.5,31,35.3,46.6,59,70,79.7,84.1,81.9,74.8,62.3,48.2,34.8,59,16.5,20.1,29.2,38.8,48.3,58.1,63.9,62.9,54.3,42.8,32.4,20.7,40.8,41,42,53,53,58,66,68,61,61,56,35,35,52,0.589,0.636,0.361,0.344,1.114,0.4787,0.00001,31,45,23
414,1250,700,900,42000,48000,42000,48000,94.8,5.9,7.3,6.9,7.1,5.8,6.4,0.3159,0.0333,small,2.8,92,28.9,64.8,68.2,73.7,79.2,85.5,89.9,92,90.9,86.9,80.4,73.5,66.6,79.3,41.4,44.7,49.7,54.7,62.7,70,72.6,72.7,69.5,60.5,50.9,43.9,57.8,58,61,69,74,71,66,65,63,62,60,63,59,64,0.475,0.512,0.49,0.474,1.176,0.4573,0.002666667,26,43,23
415,2500,600,900,36500,43000,36500,43000,95.9,5.9,7.1,7,7.1,6.3,6.2,0.2234,0.0341,city,2.6,94,42,39.9,45,56.4,66.7,75.9,84.7,89.5,88.6,80.4,68.4,54.6,41.7,66,19.6,23.8,33.3,43.5,54.2,63.7,68.4,66.2,56.3,44.7,33,22.3,44.2,55,56,56,56,60,64,72,68,62,60,50,50,59,0.588,0.623,0.359,0.358,1.177,0.4443,0.004,62,56.5,48.5
416,7000,800,1200,40500,40900,41000,43000,99.5,5.9,7.5,7.4,7.3,6.5,6.8,0.4063,0.0511,city,5.5,88.5,23.8,39.5,42.5,50.2,57.8,67.8,79,87.6,85.3,75.8,62.5,48.6,39.5,61.3,11.2,15.5,22.4,27.1,33.6,40.9,48.1,47,37.8,28,18.7,11,28.5,69,69,69,72,75,81,80,79,82,75,65,64,73,0.524,0.537,0.418,0.443,1.322,0.4749,0.0005,41,46,34
417,6348,1200,1700,46000,46500,51000,51500,97.3,6.7,8.2,7.7,7,6.5,6.7,0.4615,0.0413,big city,10.7,90.3,41.2,68.2,68.6,70.2,72.7,74.5,78.1,83.1,84.4,83.1,78.5,72.8,67.7,75.2,47.8,49.3,51,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52,47.5,55.7,69,70,70,78,63,63,82,85,74,74,70,71,72,0.714,0.71,0.234,0.269,1.66,0.4875,0.0785,93,74,100
434,0,500,900,43000,49000,42000,46000,91.8,6.5,7.5,6.7,6.7,5.9,6.5,0.5389,0.0179,small,3.5,91.1,29.5,49.8,54.7,63.9,73,81.2,88.9,91.6,91.3,85.1,74.4,62.6,52.1,72.4,32.6,36.3,44.1,52.9,62.2,70.3,73.8,72.7,65.2,53.8,43.7,35.1,53.6,51,55,58,65,67,74,74,74,67,70,56,50,63,0.623,0.644,0.346,0.34,1.169,0.4934,0.1245,36,44,5
419,0,100,1600,47500,52500,47500,52500,94.5,5.7,6.6,6.7,6.3,6.7,6.9,0.2999,0.0263,big city,7.1,90.8,34.4,76.4,78.1,80.3,83.2,87,89.5,90.9,91,89.3,86.2,81.7,77.9,84.3,59.9,62.3,64.9,68.3,72.9,76,77.3,77.4,76.5,73.5,68.1,63,70.1,68,68,74,79,73,70,77,72,69,72,63,66,70,0.637,0.534,0.341,0.461,1.203,0.5076,0.004166667,78,65,57
418,6380,700,800,35000,45000,35000,45000,95.3,6.2,7.1,7,6.7,5.9,5.9,0.2769,0.0296,small,3,94.8,40.9,28.9,32.5,42.4,53.8,64.9,75.3,80.1,78.5,71.3,59.3,46,32.8,55.5,15.6,19.3,27.7,37.3,46.5,57.1,63.5,63,54.9,43.2,32,20.1,40.1,47,51,50,52,60,65,69,64,57,51,37,35,53,0.664,0.691,0.29,0.293,1.088,0.465,0.132,63,59,48
435,100,300,400,32000,35890,32000,35890,91,6.9,6.8,7.2,6.7,6.9,5.9,0.5339,0.0117,very small,3.7,91.2,32.3,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7,47,55,58,64,63,64,61,61,59,63,55,49,58,0.56,0.573,0.423,0.413,1.184,0.4776,0.000666667,9.333333333,38,20
421,5350,700,1100,45964,55000,45964,57000,95.8,6.5,7.8,7.6,7.1,6.8,6.6,0.2331,0.0253,city,3.5,93.7,47.5,46.9,51.8,61,70.5,78.2,86,89.3,89,82.4,71.7,60.3,49.5,69.7,28.4,31.6,39,47.5,56.8,65.4,69.5,68.4,60.7,48.9,39.4,31.3,49,42,47,52,58,60,65,64,63,59,62,47,42,55,0.497,0.543,0.45,0.431,1.275,0.4622,0.00005,62,51,24
422,5000,1000,1500,48000,52000,48000,52000,93.8,6.1,7.5,7.3,6.7,6.4,6.4,0.4291,0.0326,big city,6.5,92.8,51.4,41.5,44.3,51.8,61.7,71.3,80.6,85.5,83.7,77,66.6,56.3,46,63.9,24.5,26.4,32.7,41.8,51,61.2,66.9,65.2,57.4,45.6,37.2,28.4,44.9,46,52,52,54,53,56,58,63,59,54,46,43,53,0.671,0.669,0.302,0.318,1.194,0.5118,0.005666667,78.5,54.5,56.5
436,770,450,500,40000,45000,40100,45100,91.8,6.4,7.5,7.4,6,6.4,5.6,0.5675,0.0483,very small,5.3,87.6,21.7,55.1,60.7,68.3,76.8,85.4,93.2,93.7,91.7,85.6,75.7,64.3,54.6,75.4,26.1,30.7,36.9,44.7,54.7,63.2,67,65.8,58.5,46.5,34.3,26.1,46.3,61,69,77,78,81,84,79,71,71,75,70,70,73,0.522,0.574,0.36,0.404,1.31,0.4689,0.005666667,10.5,62,30
437,900,600,800,35000,38500,36000,39500,92.5,5.9,5.9,4.6,4.4,7,6.6,0.5363,0.0249,very small,4.9,87.7,16.9,52.2,53.5,58.6,66.3,73.7,81,84.6,84.1,79.9,72,64,55.9,68.8,38.7,40,44.6,52.6,60.5,69.3,73.6,72.9,69,59.7,51.2,42.7,56.3,47,54,59,67,60,60,61,62,61,57,54,46,57,0.637,0.612,0.353,0.382,1.04,0.4677,0.0005,0,26,0
423,8750,1500,1900,45000,60000,45000,62000,93.8,6.1,7.5,7.3,6.7,6.4,6.4,0.4291,0.0326,big city,6.5,92.8,51.4,38.3,41.6,49.7,61.2,70.8,79.3,84.1,82.6,75.2,63.8,53.8,43,62,26.9,28.9,35.2,44.8,54,63.6,68.8,67.8,60.8,50,41.6,32,48,53,54,54,59,57,56,60,64,59,59,48,44,55,0.828,0.799,0.149,0.193,1.234,0.5118,0.00005,97,85,99
454,200,500,700,36000,36600,37035,37535,97.3,7.2,7.2,7.3,7.2,6.1,5.9,0.2584,0.0577,small,4.1,91,33.3,49.7,54.6,63.4,72.3,80.2,88.1,93.9,93.4,84.7,73.4,61.5,50.6,72.2,28.8,32.8,41,49.7,59.6,67.8,72.2,71.3,63.2,51.6,40,30.6,50.8,60,61,65,67,66,73,79,76,68,67,58,59,66,0.412,0.481,0.517,0.492,1.129,0.4708,0.260666667,34,43,16
424,8500,725,1200,44000,50000,44000,50000,93.7,6.2,7.2,7.1,6.6,5.9,6.2,0.3449,0.0294,big city,3.1,94.2,45.8,40.3,43.8,52.7,63.9,73.8,82.7,87.1,85.3,78,66.6,56,44.8,64.6,25.6,27.7,34.4,44.1,54,63.8,69.2,67.9,60.3,48.4,39.2,30.1,47.2,51,54,54,56,53,60,62,63,58,58,49,45,55,0.824,0.814,0.155,0.179,1.106,0.4873,0.0004,79,67,67
427,6158,700,1000,35000,46500,35000,46000,98.7,6.5,7.5,7,6.6,6.5,6.3,0.209,0.0369,city,5.2,89.3,30.8,67.2,70.7,76.9,85.2,94.8,103.9,106.1,104.4,99.8,88.5,75.5,66,86.6,45.6,48.7,53.5,60.2,69.4,77.7,83.5,82.7,76.9,64.8,52.7,44.8,63.5,79,81,83,90,93,95,86,87,89,88,79,79,85,0.457,0.503,0.491,0.481,1.787,0.4517,0.016333333,41,56,36
440,1925,450,650,44000,48500,44000,48500,96.4,7.7,7.1,6.3,5.9,6.6,6,0.1505,0.0203,small,19.5,85.1,22.3,57.7,63.1,70.3,78.6,87.8,95.5,94.7,92.4,87.6,78.2,66.2,57.1,77.4,32.5,37.1,42.9,50.7,60,68,70.9,69.7,63.3,52,40.1,32.5,51.7,77,83,87,88,89,90,83,81,81,85,81,79,83,0.666,0.571,0.301,0.42,1.296,0.4762,0.008333333,40.5,48,0
439,2750,650,900,42000,47000,42000,47000,94.9,6.8,7,6.7,6.3,5.6,6.2,0.195,0.0372,small,5.9,92.8,41.2,37.4,40.3,47.8,58.6,68.4,77.5,82.8,81.4,74.2,63.3,53.2,42.3,60.6,21,23.6,30,39.6,48.6,58.4,64.2,63.2,55.3,43.9,35.7,26.3,42.6,57,58,55,56,55,59,64,61,62,61,48,51,57,0.586,0.605,0.374,0.376,1.154,0.4633,0.00005,78,62,48
441,1700,300,450,31500,45000,31500,45000,103.8,5.5,7.5,7,7.9,5.8,6,0.1143,0.0327,very small,3.4,95,41.7,26.4,31.3,43.1,58.5,69.8,79.2,84.1,81.7,73.2,59.6,42.5,28.5,56.5,6.9,11.7,22.7,34.4,46.2,56.4,61.9,59.6,49.3,36.1,22.7,9.8,34.9,53,59,46,54,55,58,71,61,59,57,49,55,56,0.484,0.551,0.458,0.431,1.217,0.4343,0.001,4.666666667,18.66666667,0
430,3000,650,1000,50000,54500,51000,55000,97.7,6.9,7.6,7.6,7.1,6.5,6.3,0.2022,0.0382,city,6.7,90.9,27,54.1,58.9,66.7,75.4,83.8,90.6,92.8,91.3,84.5,75.2,63.6,54.1,74.3,26.4,30.1,37,45.7,55.9,64.2,67.7,66.6,58.8,47.9,35.9,27.1,47,63,67,75,73,74,80,79,80,72,75,68,68,72,0.545,0.583,0.41,0.401,1.353,0.4573,0.00001,35,45,36
429,8250,1000,1600,45000,55000,47000,56000,100.5,6.3,8,7.6,6.4,6.8,6.1,0.2896,0.0513,city,9.6,87,32.4,47.2,49.9,53.7,58.5,64.7,69.9,75.8,76.3,70.5,59.7,50.9,45.7,60.2,36.9,36.9,39.3,42.2,47.3,51.9,55.6,55.9,52.1,45.8,40,35.6,45,23,38,50,52,55,55,64,62,57,43,29,20,45,0.558,0.599,0.382,0.374,1.376,0.4435,0.004,62,70,60
442,2000,600,750,36000,44500,36000,44500,95.9,7.6,7.6,6.9,7.5,5.7,5.8,0.413,0.0141,small,3.3,88.5,32.9,62.1,65.4,71.8,78.2,85.2,89.5,91.2,91.2,87.5,80,71.8,64.4,78.2,44.7,48,53.5,60,68.1,73.5,75.3,75.3,72,62.6,53.5,46.9,61.2,48,52,56,62,59,67,61,59,61,70,57,54,58,0.443,0.442,0.529,0.54,1.099,0.4794,0.018833333,9.4,30.5,0
431,7000,500,800,37500,40055,37500,40055,93.9,5.9,6.9,6.7,6.7,6,6.1,0.2449,0.0247,city,2,95.4,42,39.9,45,55.9,67.4,76.3,85.1,89.1,87.9,80.2,68.5,55.5,42.5,66.1,23.7,27.6,36.6,47.2,57.2,66.8,71,69.4,60.6,49,38.1,26.9,47.9,51,55,55,58,60,66,71,63,64,60,45,41,57,0.558,0.612,0.395,0.372,1.099,0.4621,0.0001,65,62,45
420,9273,600,750,30000,44000,30000,44000,98.3,5.9,7.2,7.4,7.4,6.3,6.1,0.2218,0.0376,city,2.6,95.4,48.4,23.7,28.9,41.3,57.8,69.4,78.8,83.4,80.5,71.7,58,41.2,27.1,55.2,7.5,12.8,24.3,37.2,48.9,58.8,64.1,61.8,52.4,39.7,26.2,12.3,37.3,53,59,57,56,62,67,74,69,62,51,37,38,57,0.648,0.71,0.274,0.267,1.183,0.44,0.003166667,65,75.5,52.5
448,10000,650,900,39000,46000,39000,46000,94.2,6.2,7.1,7,6.1,5.3,5.7,0.2111,0.025,small,2.4,94.6,41.9,31.2,33.3,42,55,66.5,75.3,79.9,78.4,71.1,59,47.6,36.1,56.3,18.5,19.2,26,36.8,47.4,57.3,62.3,60.8,53.4,42.7,33.9,24.1,40.3,31,36,45,54,59,62,66,63,56,44,29,23,47,0.501,0.565,0.454,0.418,1.27,0.4581,0.004833333,68,65,49
410,5000,1400,1800,49000,55000,50000,56000,95.5,6,7.3,7.5,7.8,6.8,6.8,0.472,0.0409,big city,4.6,93.6,55.2,47.4,51.3,60,70.3,77.9,86.1,89.7,87.6,81.2,71,61.4,50.7,69.6,28.3,30.5,37.1,46.1,55,64.5,68.9,67.4,60.1,48.3,39.4,31.4,48.1,54,61,62,66,65,68,66,67,65,60,60,54,62,0.825,0.838,0.138,0.141,1.189,0.4442,0.0525,76,69,71